[2025-01-11T11:44:39.832+0100] {processor.py:186} INFO - Started process (PID=14854) to work on /Users/azeez.ganiyu/airflow_venv/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py
[2025-01-11T11:44:39.837+0100] {processor.py:914} INFO - Processing file /Users/azeez.ganiyu/airflow_venv/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-01-11T11:44:39.839+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:39.838+0100] {dagbag.py:588} INFO - Filling up the DagBag from /Users/azeez.ganiyu/airflow_venv/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py
[2025-01-11T11:44:40.026+0100] {processor.py:925} INFO - DAG(s) 'consume_1_or_2_with_dataset_expressions', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1', 'conditional_dataset_and_time_based_timetable', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1_and_2', 'dataset_produces_2', 'dataset_produces_1', 'dataset_consumes_1_never_scheduled' retrieved from /Users/azeez.ganiyu/airflow_venv/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py
[2025-01-11T11:44:40.236+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:40.236+0100] {dag.py:3239} INFO - Sync 10 DAGs
[2025-01-11T11:44:40.260+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:40.260+0100] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-01-08 01:00:00+00:00, run_after=2025-01-08 01:00:00+00:00
[2025-01-11T11:44:40.263+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:40.263+0100] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-01-11T11:44:40.264+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:40.264+0100] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-01-11T11:44:40.265+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:40.265+0100] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-01-11T11:44:40.266+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:40.266+0100] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-01-11T11:44:40.267+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:40.267+0100] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-01-11T11:44:40.269+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:40.269+0100] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-01-11T11:44:40.271+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:40.270+0100] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-01-11T11:44:40.276+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:40.275+0100] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-01-10 00:00:00+00:00, run_after=2025-01-11 00:00:00+00:00
[2025-01-11T11:44:40.278+0100] {logging_mixin.py:190} INFO - [2025-01-11T11:44:40.277+0100] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-01-11T11:44:40.318+0100] {processor.py:208} INFO - Processing /Users/azeez.ganiyu/airflow_venv/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py took 0.495 seconds
